borough_code,pct_recyc_2018,pct_recyc_2009,pct_change
101,0.45706806069628864,0.5254816131380983,-0.1301920956534598
102,0.40503037259647073,0.3576755225167286,0.1323961163082592
103,0.2201182515157241,0.2093097425169256,0.051638824207738354
104,0.3720489519177717,0.37666509376988916,-0.012255295031234126
105,0.3465141812563756,0.33444170133542994,0.03609741211320272
106,0.3416526337985118,0.3907320416552112,-0.1256088639385452
107,0.3942359072101444,0.344535111767942,0.14425466010465104
108,0.3842208669083274,0.34940714934838013,0.0996365346984811
109,0.23824215336207252,0.16952862193958107,0.40532112298406187
110,0.18616224034144557,0.11693098325953377,0.5920693998463162
111,0.1805074358874672,0.13475998820713905,0.3394735209534889
112,0.19689664819676225,0.15712390756862074,0.2531297830075385
201,0.13353251655467716,0.08537181472493825,0.5641288285239006
202,0.16516255682938283,0.09758206308256136,0.6925503685000345
203,0.1503076636607669,0.08390757203845044,0.7913480274687101
204,0.13857993458369094,0.08374256430955525,0.654832709342752
205,0.14583845500114415,0.11451160159164446,0.2735692538928345
206,0.14571251830833445,0.10042501491484825,0.4509583935027155
207,0.1893679145176438,0.13352245150545586,0.4182477357368324
208,0.29251758993362204,0.23711502223656386,0.2336527107160018
209,0.14149442403903198,0.10249741978024378,0.3804681556120968
210,0.28598257842406266,0.2417792692190648,0.1828250591863081
211,0.21018373036820573,0.19574832622321547,0.07374471303795116
212,0.2509380904932135,0.20540473905382287,0.22167624587989354
301,0.20675462801931208,0.1814700454426874,0.13933199010858321
302,0.37043142319763894,0.32786442442594144,0.12983109968770834
303,0.1737703794691006,0.11569884666147041,0.5019197207517967
304,0.20133615111094275,0.12683127240653644,0.5874330304405793
305,0.14176287966858728,0.1359170604154868,0.043010194858764006
306,0.47373214321885015,0.43255251370713826,0.09520145694863014
307,0.25670155155048485,0.23539917967169724,0.09049467338202821
308,0.21050596796262044,0.15847529987023024,0.32832036370965234
309,0.16455804098036184,0.12587990678025762,0.3072621770178361
310,0.3051236865473746,0.28587967061217284,0.06731509062534347
311,0.22881579476095115,0.2372528116937522,-0.03556129376326056
312,0.17987590686246646,0.1802067781073413,-0.0018360643719945724
313,0.1954727836106204,0.16274032221926643,0.2011330747351736
314,0.1800946729638225,0.16159929735665335,0.11445207936980961
315,0.24635155648323018,0.25045682378708056,-0.016391117805360178
316,0.12354457114337762,0.1074637181836164,0.14963983409065462
317,0.1695648647273821,0.15856017581402185,0.06940386422292977
318,0.21171277764962457,0.2187745024477137,-0.0322785549462139
401,0.30828178235185466,0.24422431878645867,0.26228945538140946
402,0.2747125734565954,0.24137939529000915,0.13809454666392518
403,0.17365207437342825,0.16467525893461948,0.05451222907973574
404,0.18553460918307554,0.1502992907095204,0.23443436297815645
405,0.2833944102302592,0.26484052049498163,0.07005683911434968
406,0.2816504754523368,0.26521873729181383,0.06195541962196849
407,0.24327949861641893,0.23131803735654802,0.05171002398500302
408,0.24190391024000643,0.23753048227317422,0.01841207042135551
409,0.2484132986736374,0.20729975163577186,0.1983289739299956
410,0.2380434792434575,0.22730511687209295,0.047242061767607035
411,0.33036209659154603,0.30059757510090407,0.09901783632369843
412,0.19302012180403338,0.16556715215056128,0.16581169209522484
413,0.24893241043724068,0.22263199707417602,0.118134022551583
414,0.17163236452067057,0.1620145069537763,0.05936417514536707
501,0.2515627146602148,0.23503813871794055,0.07030593431521637
502,0.2567177741361156,0.26126501031239563,-0.01740468871374279
503,0.26075177041915815,0.2737790866689231,-0.0475833140079055
